Tipo;Colonia;Habitaciones;Garages;Suites;Area;Valor;Condominio;Impuesto
Departamento;Condesa;2;1;0;67;12250.0;3325.0;560.0
Departamento;Coyoacán;3;1;1;150;87500.0;5656.0;14892.5
Departamento;Santa Fe;4;3;2;220;26250.0;13688.5;2506.0
Departamento;Juárez;2;0;0;77;8400.0;3955.0;490.0
Departamento;Chapultepec;2;1;0;55;4725.0;1505.0;164.5
Departamento;Lomas de Chapultepec;3;1;0;85;13650.0;2800.0;4238.5
Departamento;Juárez;2;0;0;75;11725.0;1592.5;0.0
Departamento;Ciudad de los Deportes;2;0;0;80;3150.0;1225.0;0.0
Departamento;San Miguel Chapultepec;1;0;0;37;3500.0;997.5;84.0
Departamento;Condesa;3;0;0;150;19250.0;6230.0;1470.0
Departamento;Bosques de las Lomas;3;1;1;127;17500.0;5390.0;1295.0
Departamento;Santa Fe;3;2;1;128;10500.0;4844.0;1134.0
Departamento;San Ángel;3;1;1;160;28000.0;7000.0;0.0
Departamento;Condesa;3;1;1;200;21700.0;6300.0;1470.0
Departamento;Santa Fe;2;1;0;58;5250.0;2331.0;371.0
Departamento;Roma;3;1;1;100;19250.0;4550.0;770.0
Departamento;Santa Fe;4;2;3;320;19250.0;9450.0;2800.0
Departamento;Coyoacán;2;0;2;52;35000.0;12911.5;1375.5
Departamento;Lomas de Chapultepec;4;4;4;380;140000.0;16450.0;5250.0
Departamento;Santa Fe;2;1;1;72;9100.0;5950.0;829.5
Departamento;Roma;4;1;1;190;19250.0;6020.0;1225.0
Departamento;Coyoacán;4;6;1;700;227500.0;31010.0;19946.5
Departamento;Bosques de las Lomas;3;1;2;105;12600.0;3850.0;983.5
Departamento;Condesa;3;1;1;500;52500.0;9030.0;1281.0
Departamento;Narvarte;3;0;0;87;5600.0;2275.0;350.0
Departamento;Roma;1;0;0;35;5250.0;1645.0;175.0
Departamento;Coyoacán;3;3;1;220;77000.0;14000.0;4200.0
Departamento;Condesa;3;0;0;100;11550.0;2975.0;315.0
Departamento;Santa Fe;3;1;2;93;8750.0;3850.0;0.0
Departamento;Nueva Santa María;2;2;0;78;2800.0;3202.5;192.5
Departamento;Santa Fe;2;1;1;85;8750.0;5505.5;689.5
Departamento;Lomas de Chapultepec;2;1;1;115;26250.0;3430.0;945.0
Departamento;Roma;2;1;1;70;12950.0;3965.5;514.5
Departamento;Santa Fe;4;4;4;392;105000.0;24500.0;10500.0
Departamento;Arboledas;3;1;1;61;4900.0;1743.0;0.0
Departamento;Condesa;3;2;1;250;24500.0;5250.0;1519.0
Departamento;Coyoacán;3;2;1;200;52500.0;5250.0;2002.0
Departamento;Condesa;3;1;0;140;12950.0;4714.5;0.0
Departamento;Condesa;2;0;0;50;8750.0;2625.0;2660.0
Departamento;Narvarte;3;1;1;78;8750.0;2555.0;623.0
Departamento;Bosques de las Lomas;3;1;1;75;14000.0;4375.0;1081.5
Departamento;Narvarte;1;0;0;65;4200.0;1120.0;0.0
Departamento;Santa Fe;2;1;0;60;5250.0;4431.0;815.5
Departamento;Condesa;4;1;2;210;45500.0;7700.0;2275.0
Departamento;Santa Fe;2;1;1;83;7000.0;5418.0;910.0
Departamento;Del Valle;5;2;1;400;31500.0;10500.0;0.0
Departamento;Santa Fe;3;1;1;84;6650.0;3860.5;742.0
Departamento;Narvarte;3;0;0;75;6300.0;1225.0;0.0
Departamento;Coyoacán;3;1;1;126;19250.0;4900.0;7000.0
Departamento;Lomas de Chapultepec;4;2;2;250;61250.0;17465.0;2170.0
Departamento;Condesa;4;2;2;436;59500.0;13650.0;3500.0
Departamento;Narvarte;2;1;1;71;5250.0;2100.0;0.0
Departamento;Santa Fe;2;1;1;81;6650.0;4200.0;423.5
Departamento;Lomas de Chapultepec;3;1;0;87;13300.0;3395.0;955.5
Departamento;Del Valle;4;1;2;288;24500.0;6545.0;2037.0
Departamento;Lomas de Chapultepec;2;1;0;70;14700.0;3850.0;700.0
Departamento;Casa Blanca;3;0;0;65;4200.0;1225.0;56.0
Departamento;Santa Fe;3;3;2;169;22750.0;6601.0;1575.0
Departamento;Del Valle;3;1;1;90;8400.0;4588.5;0.0
Departamento;Narvarte;2;0;0;50;6300.0;1214.5;87.5
Departamento;Coyoacán;3;1;1;140;22750.0;6300.0;1771.0
Departamento;Coyoacán;4;1;1;170;42000.0;4235.0;14777.0
Departamento;Centro Histórico;1;0;0;35;4725.0;1470.0;84.0
Departamento;Narvarte;2;0;0;63;4900.0;1540.0;213.5
Departamento;Condesa;3;1;0;112;13300.0;3930.5;1001.0
Departamento;Narvarte;3;1;0;129;6300.0;2975.0;406.0
Departamento;Santa Fe;4;3;3;160;30100.0;8050.0;875.0
Departamento;Santa Fe;1;1;1;60;7700.0;5600.0;1225.0
Departamento;Condesa;2;0;0;54;6300.0;2065.0;0.0
Departamento;Juárez;2;1;1;70;11550.0;4777.5;630.0
Departamento;Condesa;5;1;3;390;35000.0;3500.0;3500.0
Departamento;Roma;1;0;0;35;3500.0;1025.5;301.0
Departamento;Narvarte;3;1;0;164;12250.0;4585.0;899.5
Departamento;Roma;2;1;1;79;15102.5;3885.0;654.5
Departamento;Narvarte;1;0;0;36;4550.0;1032.5;84.0
Departamento;San Pedro de los Pinos;1;0;0;57;13965.0;3010.0;350.0
Departamento;Lomas de Chapultepec;4;2;2;200;38500.0;10150.0;2030.0
Departamento;Santa Fe;2;1;1;63;6650.0;2884.0;0.0
Departamento;San Ángel;2;1;1;100;13650.0;4550.0;1120.0
Departamento;Coyoacán;3;2;1;165;26250.0;7700.0;1862.0
Departamento;Coyoacán;3;2;2;160;21000.0;12250.0;16100.0
Departamento;Lomas de Chapultepec;2;1;1;87;16800.0;4550.0;1263.5
Departamento;Santa Fe;3;1;1;105;8750.0;4900.0;5250.0
Departamento;Santa Fe;3;1;1;80;12250.0;4935.0;945.0
Departamento;Roma;3;1;1;102;17850.0;4550.0;0.0
Departamento;San Ángel;3;0;1;120;9450.0;3080.0;833.0
Departamento;San Pedro de los Pinos;2;2;1;112;15750.0;4550.0;0.0
Departamento;Bosques de las Lomas;1;1;0;75;9800.0;2800.0;735.0
Departamento;Coyoacán;3;1;1;125;24500.0;7350.0;1620.5
Departamento;Nueva Santa María;2;0;0;53;4900.0;1610.0;42.0
Departamento;Santa Fe;2;2;1;86;12250.0;4574.5;0.0
Departamento;Santa Fe;2;1;1;77;8750.0;2905.0;546.0
Departamento;Nueva Santa María;1;1;0;63;2450.0;2187.5;126.0
Departamento;Santa Fe;4;2;2;149;15750.0;7455.0;0.0
Departamento;Coyoacán;4;1;2;250;42000.0;8050.0;3675.0
Departamento;San Ángel;2;1;1;68;9450.0;2975.0;651.0
Departamento;Santa Fe;2;1;1;75;4900.0;4480.0;0.0
Departamento;Coyoacán;2;1;1;97;24500.0;14000.0;16537.5
Departamento;Condesa;4;2;1;279;11025.0;7087.5;1295.0
Departamento;Del Valle;5;3;2;713;105000.0;13300.0;0.0
Departamento;Narvarte;2;1;1;70;5250.0;3115.0;238.0
Departamento;Álvaro Obregón;2;0;0;70;3500.0;112.0;0.0
Departamento;Iztacalco;2;0;0;40;2100.0;1452.5;0.0
Departamento;Condesa;2;1;1;81;10150.0;3125.5;665.0
Departamento;Ciudad de los Deportes;3;0;0;90;3150.0;1155.0;52.5
Departamento;San Miguel Chapultepec;3;3;1;124;5950.0;4900.0;0.0
Departamento;Coyoacán;2;0;1;75;18200.0;1666.0;420.0
Departamento;Del Valle;2;1;1;70;8050.0;2170.0;665.0
Departamento;Santa Fe;4;3;4;192;17500.0;7700.0;1967.0
Departamento;Condesa;1;0;0;43;5600.0;1582.0;847.0
Departamento;Santa Fe;2;1;1;70;7700.0;2730.0;0.0
Departamento;Mixcoac;3;1;1;73;4200.0;1820.0;0.0
Departamento;Condesa;3;0;0;120;10500.0;4970.0;0.0
Departamento;Peralvillo;2;1;0;64;2800.0;868.0;49.0
Departamento;Condesa;1;0;0;45;9800.0;1575.0;105.0
Departamento;Del Valle;2;0;0;110;8750.0;3388.0;584.5
Departamento;Coyoacán;4;3;3;433;129500.0;34300.0;0.0
Departamento;Napoles;3;1;1;175;28000.0;4830.0;0.0
Departamento;San Pedro de los Pinos;2;1;0;64;8750.0;1820.0;0.0
Departamento;Condesa;1;0;1;37;8750.0;1564.5;70.0
Departamento;Condesa;4;2;2;240;35000.0;7000.0;2450.0
Departamento;Santa Fe;3;2;2;137;43750.0;6475.0;948.5
Departamento;Santa Fe;14;2;2;212;17500.0;4200.0;2275.0
Departamento;Nativitas;2;1;0;65;3850.0;892.5;0.0
Departamento;Santa Fe;2;2;1;105;10500.0;5250.0;0.0
Departamento;San Miguel Chapultepec;2;1;0;70;3850.0;1925.0;0.0
Departamento;San Ángel;3;1;1;108;17500.0;6191.5;791.0
Departamento;Juárez;1;0;0;45;5600.0;1750.0;192.5
Departamento;Santa Fe;3;2;3;160;24500.0;3804.5;1592.5
Departamento;Bosques de las Lomas;3;2;1;130;17500.0;3500.0;1050.0
Departamento;Condesa;3;0;0;80;8750.0;2800.0;549.5
Departamento;Santa Fe;5;4;3;171;31500.0;7000.0;12250.0
Departamento;Centro Histórico;1;0;0;42;7700.0;2166.5;707.0
Departamento;Lomas de Chapultepec;4;3;4;260;47250.0;10850.0;0.0
Departamento;Bosques de las Lomas;4;3;1;180;38500.0;8855.0;2842.0
Departamento;Condesa;1;0;0;43;6300.0;2236.5;266.0
Departamento;Bosques de las Lomas;2;1;1;80;7700.0;9100.0;1470.0
Departamento;Polanco;3;1;2;170;21000.0;3010.0;1890.0
Departamento;Lomas de Chapultepec;4;2;2;207;54250.0;21000.0;3269.0
Departamento;Santa Fe;4;4;4;518;133000.0;17514.0;6114.5
Departamento;Coyoacán;1;0;1;50;8400.0;3139.5;91.0
Departamento;Condesa;2;0;0;65;9450.0;2485.0;455.0
Departamento;Santa Fe;4;3;4;304;45500.0;13300.0;4725.0
Departamento;Narvarte;3;1;0;88;8050.0;2765.0;3097.5
Departamento;Coyoacán;3;1;1;145;25200.0;10150.0;1750.0
Departamento;Tlalpan;1;0;0;53;9800.0;2695.0;0.0
Departamento;Coyoacán;3;1;1;116;17500.0;5600.0;1106.0
Departamento;Narvarte;3;1;0;116;7000.0;2765.0;679.0
Departamento;San Miguel Chapultepec;3;0;0;82;4200.0;2324.0;301.0
Departamento;Santa Fe;3;2;1;130;16800.0;5950.0;1515.5
Departamento;Condesa;1;0;0;60;9800.0;2170.0;448.0
Departamento;Villa de Cortés;2;0;0;64;3325.0;630.0;0.0
Departamento;Polanco;3;1;1;130;22400.0;5250.0;0.0
Departamento;Lomas de Chapultepec;2;1;0;90;12250.0;4550.0;700.0
Departamento;Lomas de Chapultepec;4;2;4;200;29750.0;9485.0;3307.5
Departamento;Narvarte;1;1;1;84;7000.0;2513.0;420.0
Departamento;Condesa;1;1;0;150;10500.0;4200.0;1365.0
Departamento;Santa Fe;3;2;3;156;19250.0;8050.0;1393.0
Departamento;Roma;2;0;0;115;7700.0;3657.5;665.0
Departamento;Narvarte;2;0;0;49;6300.0;630.0;0.0
Departamento;Condesa;2;0;0;120;13300.0;3500.0;689.5
Departamento;Santa Fe;2;1;1;70;6300.0;2383.5;420.0
Departamento;Santa Fe;2;1;1;70;11340.0;3325.0;0.0
Departamento;Coyoacán;2;0;0;99;11550.0;3220.0;0.0
Departamento;Condesa;3;1;0;80;10850.0;2450.0;4228.0
Departamento;Condesa;2;1;0;74;9100.0;3573.5;0.0
Departamento;San Pedro de los Pinos;2;1;0;75;10150.0;3241.0;315.0
Departamento;Santa Fe;4;3;4;250;33250.0;9800.0;1830.5
Departamento;Coyoacán;4;1;3;250;42000.0;8050.0;3629.5
Departamento;Santa Fe;4;3;2;260;26250.0;12425.0;1225.0
Departamento;Del Valle;2;0;0;85;7350.0;2450.0;332.5
Departamento;Roma Norte;2;1;0;69;6650.0;2100.0;245.0
Departamento;San Rafael;2;1;0;56;6650.0;2124.5;311.5
Departamento;Coyoacán;4;3;4;480;136500.0;32900.0;0.0
Departamento;Santa Fe;4;3;3;180;24500.0;6772.5;1571.5
Departamento;Condesa;2;0;0;81;10500.0;2695.0;556.5
Departamento;Santa Fe;2;1;1;88;8400.0;4595.5;0.0
Departamento;Coyoacán;3;3;3;169;31500.0;8050.0;3101.0
Departamento;Lomas de Chapultepec;3;1;0;74;11550.0;2450.0;290.5
Departamento;Condesa;2;0;0;110;9800.0;2800.0;420.0
Departamento;Napoles;1;0;0;31;3990.0;1470.0;84.0
Departamento;Santa Fe;2;1;0;70;8400.0;6300.0;525.0
Departamento;Industrial Vallejo;3;1;0;60;2625.0;826.0;0.0
Departamento;La Condesa;1;0;0;48;4900.0;1680.0;70.0
Departamento;Condesa;5;1;1;400;29750.0;7560.0;1277.5
Departamento;Coyoacán;2;1;0;45;10500.0;2012.5;87.5
Departamento;Peralvillo;2;1;0;65;3325.0;2240.0;441.0
Departamento;Lomas de Chapultepec;2;0;0;100;13300.0;3150.0;682.5
Departamento;Iztapalapa;2;1;0;70;2975.0;700.0;0.0
Departamento;Ciudad de los Deportes;2;1;1;63;3850.0;1263.5;0.0
Departamento;Santa Fe;3;2;2;480;52500.0;9625.0;2275.0
Departamento;Del Valle;2;0;0;51;6650.0;1575.0;87.5
Departamento;Roma;1;0;0;17;3850.0;1155.0;52.5
Departamento;Roma;3;0;0;100;21175.0;4042.5;819.0
Departamento;Bosques de las Lomas;2;1;1;90;9450.0;4725.0;875.0
Departamento;Bosques de las Lomas;3;3;3;230;21000.0;16100.0;3465.0
Departamento;Peralvillo;2;1;1;62;5950.0;1750.0;234.5
Departamento;Lomas de Chapultepec;2;2;1;113;12250.0;4777.5;1354.5
Departamento;San Miguel Chapultepec;2;1;0;63;4550.0;1750.0;0.0
Departamento;Bosques de las Lomas;3;3;1;250;38500.0;12250.0;3111.5
Departamento;San Pedro de los Pinos;3;1;0;95;8050.0;4550.0;420.0
Departamento;Villa de Guadalupe;1;1;0;45;2450.0;1246.0;441.0
Departamento;Santa Fe;2;1;0;90;7000.0;3430.0;5600.0
Departamento;Santa Fe;1;1;1;80;5950.0;3430.0;875.0
Departamento;Santa Fe;2;1;1;70;7700.0;3500.0;245.0
Departamento;Santa Fe;4;3;1;190;19250.0;5600.0;1522.5
Departamento;Condesa;3;1;0;140;12250.0;4375.0;0.0
Departamento;Narvarte;1;1;1;87;4900.0;3699.5;567.0
Departamento;Santa Fe;4;3;2;210;18550.0;7280.0;1750.0
Departamento;Lomas de Chapultepec;4;3;4;300;105000.0;14955.5;5449.5
Departamento;Coyoacán;3;1;1;140;25200.0;10150.0;1750.0
Departamento;Polanco;2;1;1;86;14350.0;2905.0;899.5
Departamento;Lomas de Chapultepec;3;1;0;110;21700.0;3097.5;0.0
Departamento;Narvarte;2;1;0;60;6300.0;1470.0;0.0
Departamento;Santa Fe;2;1;1;140;15750.0;3185.0;1470.0
Departamento;San Rafael;1;0;1;30;3850.0;2030.0;0.0
Departamento;Peralvillo;2;1;0;52;2450.0;1470.0;122.5
Departamento;Bosques de las Lomas;2;1;0;77;9450.0;3675.0;1057.0
Departamento;Condesa;3;1;1;194;26250.0;5985.0;16243.5
Departamento;Lomas de Chapultepec;3;3;1;208;28000.0;5950.0;3377.5
Departamento;San Ángel;3;1;2;220;24500.0;11200.0;1575.0
Departamento;Santa Fe;3;2;1;204;16100.0;8123.5;1711.5
Departamento;Santa Fe;3;1;3;80;9800.0;4550.0;0.0
Departamento;Lomas de Chapultepec;4;2;2;205;52500.0;21000.0;2702.0
Departamento;Santa Fe;3;2;1;165;22750.0;5260.5;1155.0
Departamento;Lomas de Chapultepec;3;2;1;140;15750.0;8932.0;2082.5
Departamento;Del Valle;3;1;1;150;11200.0;5264.0;1053.5
Departamento;Lomas de Padierna;1;1;0;47;4200.0;1015.0;171.5
Departamento;Narvarte;2;1;0;70;6475.0;2618.0;168.0
Departamento;Lomas de Chapultepec;2;1;1;82;20650.0;3948.0;1050.0
Departamento;Santa Fe;4;4;4;330;70000.0;6300.0;36750.0
Departamento;Santa Fe;3;2;1;140;17150.0;5600.0;12530.0
Departamento;Narvarte;3;1;1;106;7175.0;3052.0;3528.0
Departamento;Napoles;1;0;0;55;7000.0;2047.5;276.5
Departamento;Coyoacán;3;3;3;310;56000.0;10500.0;3850.0
Departamento;San Miguel Chapultepec;2;1;1;79;4550.0;3325.0;105.0
Departamento;Santa Fe;2;1;1;102;8750.0;5173.0;892.5
Departamento;Condesa;3;1;1;160;14000.0;5659.5;1050.0
Departamento;Condesa;1;0;0;30;4200.0;2275.0;189.0
Departamento;Coyoacán;3;1;0;80;14000.0;4200.0;878.5
Departamento;Lomas de Chapultepec;4;2;2;300;98000.0;12180.0;0.0
Departamento;Polanco;3;2;2;145;16380.0;4536.0;1109.5
Departamento;Santa Fe;1;1;1;68;9800.0;4375.0;766.5
Departamento;Polanco;2;2;1;83;12250.0;5705.0;686.0
Departamento;Lomas de Chapultepec;3;2;1;180;33250.0;9814.0;3325.0
Departamento;Condesa;2;1;1;110;14000.0;3535.0;882.0
Departamento;Roma;3;0;0;123;11200.0;1473.5;637.0
Departamento;Santa Fe;3;2;3;120;9800.0;4480.0;1260.0
Departamento;Lomas de Chapultepec;2;3;1;168;31500.0;7434.0;1970.5
Departamento;Santa Fe;1;0;0;71;7350.0;4200.0;770.0
Departamento;Narvarte;2;1;1;81;8225.0;2971.5;280.0
Departamento;Mixcoac;3;1;0;90;6650.0;735.0;560.0
Departamento;Bosques de las Lomas;2;1;1;56;12250.0;5215.0;1130.5
Departamento;Lomas de Chapultepec;4;2;1;200;40250.0;10692.5;1750.0
Departamento;Narvarte;3;0;0;98;5950.0;1365.0;325.5
Departamento;San Rafael;2;0;0;66;2450.0;3150.0;161.0
Departamento;Coyoacán;3;2;1;200;22050.0;7700.0;1400.0
Departamento;Peralvillo;2;1;0;60;3150.0;1470.0;52.5
Departamento;Condesa;2;0;0;65;4900.0;2100.0;0.0
Departamento;Lomas de Chapultepec;4;2;2;230;62650.0;17500.0;3500.0
Departamento;San Ángel;3;1;1;138;27650.0;6650.0;11963.0
Departamento;Coyoacán;3;1;0;130;28000.0;7000.0;1680.0
Departamento;Roma;3;1;1;123;14000.0;4158.0;773.5
Departamento;Roma;1;0;0;38;4550.0;1400.0;87.5
Departamento;Narvarte;2;1;0;88;3850.0;2425.5;112.0
Departamento;Condesa;1;0;0;36;5950.0;2212.0;241.5
Departamento;Condesa;1;0;0;37;7700.0;1942.5;245.0
Departamento;Coyoacán;3;1;1;126;21000.0;5834.5;2065.0
Departamento;San Ángel;2;1;0;63;11550.0;2275.0;0.0
Departamento;Santa Fe;2;1;0;74;7350.0;2625.0;0.0
Departamento;Santa Fe;2;1;1;70;8050.0;3500.0;280.0
Departamento;Santa Fe;4;3;4;292;56000.0;17500.0;5250.0
Departamento;Santa Fe;4;2;1;330;31500.0;10850.0;3797.5
Departamento;Roma;3;1;1;102;17850.0;4550.0;1197.0
Departamento;La Condesa;1;0;0;28;5250.0;875.0;0.0
Departamento;Santa Fe;2;2;1;65;5600.0;4445.0;815.5
Departamento;Nueva Santa María;2;1;0;69;4375.0;2100.0;0.0
Departamento;Las Águilas;2;1;0;48;3500.0;1190.0;315.0
Departamento;Lomas de Chapultepec;4;2;2;240;62650.0;17500.0;3500.0
Departamento;Del Valle;4;2;1;350;35000.0;10500.0;1410.5
Departamento;Santa Fe;2;1;1;87;8050.0;5187.0;878.5
Departamento;Santa Fe;3;1;1;75;6650.0;2625.0;210.0
Departamento;Santa Fe;2;1;1;80;12250.0;3850.0;490.0
Departamento;Condesa;3;0;2;130;14000.0;3325.0;700.0
Departamento;Culhuacán CTM;3;0;0;58;3465.0;350.0;0.0
Departamento;San Pedro de los Pinos;2;1;0;72;10150.0;2852.5;336.0
Departamento;Peralvillo;2;1;1;61;3500.0;1711.5;0.0
Departamento;Tlalpan;3;1;1;220;56000.0;9649.5;1904.0
Departamento;Condesa;3;1;0;290;28000.0;7112.0;24500.0
Departamento;Narvarte;2;1;0;72;5250.0;2569.0;0.0
Departamento;El Arenal;2;1;0;90;4900.0;1680.0;297.5
Departamento;Narvarte;3;0;0;86;5250.0;2415.0;290.5
Departamento;Coyoacán;3;2;1;200;33250.0;12600.0;5250.0
Departamento;Condesa;2;0;1;120;13300.0;4945.5;1099.0
Departamento;Condesa;4;1;2;270;47250.0;9800.0;0.0
Departamento;Coyoacán;3;2;1;108;21000.0;7350.0;1631.0
Departamento;Coyoacán;3;2;1;220;31500.0;12600.0;4900.0
Departamento;Coyoacán;1;0;1;46;6300.0;3276.0;301.0
Departamento;San Sebastián;2;0;0;65;4550.0;1638.0;105.0
Departamento;Coyoacán;1;0;1;48;7350.0;1890.0;283.5
Departamento;Napoles;4;0;1;350;35000.0;9450.0;22750.0
Departamento;Condesa;2;0;1;45;5600.0;2170.0;0.0
Departamento;Santa Fe;3;2;1;201;33250.0;8050.0;47250.0
Departamento;Centro Histórico;1;0;1;38;4025.0;1400.0;87.5
Departamento;Napoles;3;1;0;200;28000.0;8050.0;1785.0
Departamento;Santa Fe;3;2;3;89;15750.0;4200.0;738.5
Departamento;Santa Fe;4;3;2;398;56000.0;9100.0;38500.0
Departamento;Coyoacán;2;2;1;130;28000.0;7000.0;2310.0
Departamento;Santa Fe;2;1;1;69;8750.0;3290.0;2800.0
Departamento;Coyoacán;4;2;1;200;33250.0;12600.0;5250.0
Departamento;Roma;1;1;0;65;7700.0;2376.5;94.5
Departamento;Santa Fe;2;1;2;100;35000.0;18042.5;1757.0
Departamento;Santa Fe;2;2;1;75;4900.0;2800.0;350.0
Departamento;Lomas de Chapultepec;3;1;2;155;25200.0;5302.5;1883.0
Departamento;Narvarte;2;1;1;70;5600.0;2590.0;0.0
Departamento;Lomas de Chapultepec;2;2;1;65;17500.0;6825.0;1050.0
Departamento;Narvarte;3;2;1;150;7000.0;5950.0;735.0
Departamento;Santa Fe;4;3;4;245;38500.0;10500.0;1904.0
Departamento;Bosques de las Lomas;3;2;3;125;16800.0;5600.0;1610.0
Departamento;Lomas de Chapultepec;2;0;1;71;23450.0;7245.0;0.0
Departamento;Condesa;1;0;1;39;6300.0;2100.0;0.0
Departamento;Condesa;1;0;0;21;2800.0;1092.0;52.5
Departamento;San Miguel Chapultepec;3;1;0;95;4375.0;2275.0;210.0
Departamento;Condesa;1;0;0;36;7700.0;2065.0;0.0
Departamento;Santa Fe;2;1;1;67;7000.0;4550.0;416.5
Departamento;Condesa;3;2;1;190;24500.0;7000.0;2236.5
Departamento;San Rafael;3;0;0;64;4550.0;1085.0;70.0
Departamento;Coyoacán;3;0;0;90;12250.0;3493.0;332.5
Departamento;Condesa;3;1;0;90;13300.0;3150.0;805.0
Departamento;Villa de Guadalupe;2;1;1;58;4725.0;2065.0;1960.0
Departamento;Coyoacán;3;3;2;270;56000.0;10850.0;27345.5
Departamento;Las Águilas;2;1;1;51;4200.0;1925.0;2275.0
Departamento;Bosques de las Lomas;3;2;1;162;19250.0;5250.0;2194.5
Departamento;Narvarte;2;1;1;85;5600.0;3360.0;315.0
Departamento;Coyoacán;1;0;0;50;7350.0;2205.0;0.0
Departamento;Santa Fe;1;1;1;69;6650.0;3524.5;556.5
Departamento;Narvarte;3;1;1;80;10500.0;3384.5;644.0
Departamento;Santa Fe;2;1;1;70;4025.0;4410.0;560.0
Departamento;Lomas de Chapultepec;2;1;1;90;12250.0;4025.0;11550.0
Departamento;Lomas de Chapultepec;3;2;2;262;70000.0;9026.5;4728.5
Departamento;Del Valle;2;1;0;63;8750.0;3388.0;325.5
Departamento;Del Valle;2;1;0;79;8050.0;2730.0;413.0
Departamento;Polanco;2;2;1;83;12250.0;6265.0;686.0
Departamento;San Miguel Chapultepec;2;0;0;80;5950.0;1575.0;210.0
Departamento;Del Valle;4;2;1;270;19250.0;9625.0;1470.0
Departamento;Coyoacán;3;1;2;108;20300.0;6072.5;1288.0
Departamento;Coyoacán;3;2;1;166;24500.0;11900.0;0.0
Departamento;Roma;1;0;0;53;5600.0;2695.0;245.0
Departamento;Bosques de las Lomas;3;1;1;120;19250.0;3780.0;1942.5
Departamento;Santa Fe;3;2;2;168;12250.0;7483.0;1403.5
Departamento;Narvarte;2;0;1;48;5950.0;2450.0;0.0
Departamento;Santa Fe;2;1;1;60;9800.0;3150.0;521.5
Departamento;Del Valle;4;0;2;217;31500.0;4200.0;0.0
Departamento;Coyoacán;2;0;0;73;10500.0;2450.0;665.0
